Date;$ / TM
25/10/1979;12596653.11
26/10/1979;12056520.97
29/10/1979;12024370.25
30/10/1979;12140112.85
31/10/1979;12281576.03
01/11/1979;12169048.5
02/11/1979;11985789.38
05/11/1979;12249425.31
06/11/1979;12355522.69
07/11/1979;12699535.42
08/11/1979;12522706.45
09/11/1979;12522706.45
12/11/1979;12643271.66
13/11/1979;12448759.79
14/11/1979;12538781.81
15/11/1979;12410178.92
16/11/1979;12550034.56
19/11/1979;12533959.2
20/11/1979;12466442.68
21/11/1979;12736508.75
22/11/1979;12640056.59
23/11/1979;12603083.25
26/11/1979;12707573.1
27/11/1979;12659347.02
28/11/1979;13220377.13
29/11/1979;13236452.49
30/11/1979;13363447.84
03/12/1979;13784622.31
04/12/1979;13863391.58
05/12/1979;13709068.11
06/12/1979;13945375.92
07/12/1979;13837671
10/12/1979;13861784.04
11/12/1979;14323146.91
12/12/1979;14347259.95
13/12/1979;14750751.52
14/12/1979;14686450.08
17/12/1979;15094764.25
18/12/1979;15360007.72
19/12/1979;15705627.98
20/12/1979;15159065.7
21/12/1979;15210506.86
24/12/1979;15210506.86
25/12/1979;15210506.86
26/12/1979;15210506.86
27/12/1979;15210506.86
28/12/1979;16461169.96
31/12/1979;16461169.96
01/01/1980;16461169.96
02/01/1980;17988329.29
03/01/1980;20383558.12
04/01/1980;18904624.88
07/01/1980;20367482.76
08/01/1980;19611940.78
09/01/1980;19521918.76
10/01/1980;19382063.11
11/01/1980;20029900.17
14/01/1980;21219476.91
15/01/1980;21991094.25
16/01/1980;24434549.17
17/01/1980;24113041.94
18/01/1980;26845853.36
21/01/1980;27328114.2
22/01/1980;23711157.91
23/01/1980;22344752.2
24/01/1980;23052068.1
25/01/1980;21476682.69
28/01/1980;20062050.89
29/01/1980;21677624.7
30/01/1980;22216149.31
31/01/1980;20994421.85
01/02/1980;21749963.83
04/02/1980;21532946.45
05/02/1980;21926792.8
06/02/1980;22794862.31
07/02/1980;22481392.77
08/02/1980;22248300.03
11/02/1980;22843088.4
12/02/1980;22328676.84
13/02/1980;22401015.96
14/02/1980;21926792.8
15/02/1980;21444531.97
18/02/1980;21267702.99
19/02/1980;20970308.81
20/02/1980;19483337.89
21/02/1980;21380230.52
22/02/1980;20254955.23
25/02/1980;19820920.48
26/02/1980;20648801.58
27/02/1980;20447859.57
28/02/1980;20769366.79
29/02/1980;20480010.29
03/03/1980;20375520.44
04/03/1980;20295143.63
05/03/1980;20688989.99
06/03/1980;20126352.34
07/03/1980;19579790.06
10/03/1980;18808172.71
11/03/1980;18333949.56
12/03/1980;18830678.22
13/03/1980;17891877.12
14/03/1980;16814827.91
17/03/1980;15560949.73
18/03/1980;15480572.93
19/03/1980;16943430.8
20/03/1980;18036555.37
21/03/1980;16879129.36
24/03/1980;17948140.88
25/03/1980;17594482.94
26/03/1980;16316491.71
27/03/1980;15601138.14
28/03/1980;15753854.07
31/03/1980;15898532.32
01/04/1980;16380793.16
02/04/1980;16091436.66
03/04/1980;15617213.5
04/04/1980;15617213.5
07/04/1980;15617213.5
08/04/1980;16975581.53
09/04/1980;17811500.31
10/04/1980;16911280.08
11/04/1980;17055958.33
14/04/1980;17031845.29
15/04/1980;15994984.49
16/04/1980;16718375.75
17/04/1980;16493320.69
18/04/1980;16576912.57
21/04/1980;16268265.63
22/04/1980;16152523.03
23/04/1980;16284340.99
24/04/1980;16580127.64
25/04/1980;17731123.51
28/04/1980;16855016.32
29/04/1980;16517433.73
30/04/1980;16654074.3
01/05/1980;15753854.07
02/05/1980;16477245.33
05/05/1980;16477245.33
06/05/1980;16477245.33
07/05/1980;16396868.52
08/05/1980;16581735.17
09/05/1980;16340604.76
12/05/1980;16501358.37
13/05/1980;16461169.96
14/05/1980;16879129.36
15/05/1980;16621923.58
16/05/1980;16605848.22
19/05/1980;16517433.73
20/05/1980;16324529.39
21/05/1980;16509396.05
22/05/1980;16107512.02
23/05/1980;16437056.92
26/05/1980;16437056.92
27/05/1980;16551191.99
28/05/1980;16927355.44
29/05/1980;16705515.46
30/05/1980;17216711.95
02/06/1980;18052630.73
03/06/1980;17763274.23
04/06/1980;18374137.96
05/06/1980;18703682.87
06/06/1980;19193981.38
09/06/1980;20054013.21
10/06/1980;19419036.44
11/06/1980;19161830.66
12/06/1980;18968926.33
13/06/1980;19560499.62
16/06/1980;19129679.94
17/06/1980;19025190.09
18/06/1980;19370810.36
19/06/1980;19258282.83
20/06/1980;19383670.65
23/06/1980;19177906.02
24/06/1980;19386885.72
25/06/1980;20013824.81
26/06/1980;20078126.26
27/06/1980;20496085.65
30/06/1980;21010497.21
01/07/1980;21219476.91
02/07/1980;21267702.99
03/07/1980;21332004.44
04/07/1980;21428456.6
07/07/1980;21460607.33
08/07/1980;22103621.78
09/07/1980;21573134.86
10/07/1980;21106949.38
11/07/1980;21444531.97
14/07/1980;20897969.68
15/07/1980;19917372.64
16/07/1980;20086163.94
17/07/1980;20166540.74
18/07/1980;19483337.89
21/07/1980;19853071.2
22/07/1980;19708392.95
23/07/1980;20295143.63
24/07/1980;20672914.62
25/07/1980;20954233.45
28/07/1980;20688989.99
29/07/1980;20793479.83
30/07/1980;20222804.51
31/07/1980;19748581.35
01/08/1980;19997749.45
04/08/1980;20279068.27
05/08/1980;20271030.59
06/08/1980;20182616.1
07/08/1980;20238879.87
08/08/1980;20254955.23
11/08/1980;19836995.84
12/08/1980;19451187.17
13/08/1980;19780732.07
14/08/1980;20126352.34
15/08/1980;20078126.26
18/08/1980;19684279.9
19/08/1980;20062050.89
20/08/1980;20407671.16
21/08/1980;20745253.75
22/08/1980;20550741.88
25/08/1980;20550741.88
26/08/1980;20217981.9
27/08/1980;20378735.51
28/08/1980;20425354.06
29/08/1980;20295143.63
01/09/1980;20214766.83
02/09/1980;20576462.46
03/09/1980;20471972.61
04/09/1980;20809555.19
05/09/1980;20930120.4
08/09/1980;21605285.58
09/09/1980;21557059.49
10/09/1980;22071471.06
11/09/1980;21669587.02
12/09/1980;22039320.33
15/09/1980;21428456.6
16/09/1980;21476682.69
17/09/1980;21637436.3
18/09/1980;21605285.58
19/09/1980;21669587.02
22/09/1980;22827013.04
23/09/1980;22859163.76
24/09/1980;22843088.4
25/09/1980;22433166.69
26/09/1980;22465317.41
29/09/1980;21838378.32
30/09/1980;21436494.29
01/10/1980;21926792.8
02/10/1980;21404343.56
03/10/1980;21235552.27
06/10/1980;21717813.11
07/10/1980;21803012.52
08/10/1980;21766039.19
09/10/1980;22183998.59
10/10/1980;22031282.65
13/10/1980;21854453.68
14/10/1980;21492758.05
15/10/1980;21798189.91
16/10/1980;21669587.02
17/10/1980;21557059.49
20/10/1980;21123024.74
21/10/1980;20978346.49
22/10/1980;21219476.91
23/10/1980;20399633.48
24/10/1980;20351407.4
27/10/1980;20488047.97
28/10/1980;20311218.99
29/10/1980;20705065.35
30/10/1980;20656839.26
31/10/1980;20222804.51
03/11/1980;20592537.82
04/11/1980;20769366.79
05/11/1980;20962271.13
06/11/1980;20319256.68
07/11/1980;19161830.66
10/11/1980;19692317.58
11/11/1980;19242207.47
12/11/1980;19917372.64
13/11/1980;19997749.45
14/11/1980;19692317.58
17/11/1980;19668204.54
18/11/1980;19901297.28
19/11/1980;20246917.55
20/11/1980;20271030.59
21/11/1980;20407671.16
24/11/1980;20287105.95
25/11/1980;19812882.79
26/11/1980;20029900.17
27/11/1980;19997749.45
28/11/1980;19925410.32
01/12/1980;20415708.84
02/12/1980;20158503.06
03/12/1980;20166540.74
04/12/1980;20303181.31
05/12/1980;19836995.84
08/12/1980;19845033.52
09/12/1980;19419036.44
10/12/1980;18615268.38
11/12/1980;17940103.2
12/12/1980;18092819.14
15/12/1980;18615268.38
16/12/1980;18036555.37
17/12/1980;18502740.85
18/12/1980;18438439.4
19/12/1980;18486665.49
22/12/1980;19121642.26
23/12/1980;19370810.36
24/12/1980;19370810.36
25/12/1980;19370810.36
26/12/1980;19370810.36
29/12/1980;19089491.54
30/12/1980;18960888.65
31/12/1980;18960888.65
01/01/1981;18960888.65
02/01/1981;18960888.65
05/01/1981;19210056.75
06/01/1981;19266320.51
07/01/1981;18808172.71
08/01/1981;18478627.81
09/01/1981;18575079.97
12/01/1981;18068706.09
13/01/1981;18092819.14
14/01/1981;17891877.12
15/01/1981;18374137.96
16/01/1981;18028517.69
19/01/1981;18221422.03
20/01/1981;18068706.09
21/01/1981;18583117.66
22/01/1981;18133007.54
23/01/1981;17779349.59
26/01/1981;16991656.89
27/01/1981;16846978.64
28/01/1981;16830903.27
29/01/1981;15874419.28
30/01/1981;16284340.99
02/02/1981;15866381.6
03/02/1981;15633288.86
04/02/1981;16236114.91
05/02/1981;16027135.21
06/02/1981;16091436.66
09/02/1981;16477245.33
10/02/1981;16702300.38
11/02/1981;16107512.02
12/02/1981;15761891.75
13/02/1981;15802080.15
16/02/1981;15761891.75
17/02/1981;16099474.34
18/02/1981;16236114.91
19/02/1981;16179851.14
20/02/1981;16445094.6
23/02/1981;16123587.38
24/02/1981;16171813.46
25/02/1981;16091436.66
26/02/1981;15818155.51
27/02/1981;15721703.35
02/03/1981;14966161.36
03/03/1981;15142990.34
04/03/1981;14966161.36
05/03/1981;14837558.47
06/03/1981;15014387.45
09/03/1981;15247480.19
10/03/1981;15665439.58
11/03/1981;15311781.63
12/03/1981;15368045.4
13/03/1981;15818155.51
16/03/1981;16067323.61
17/03/1981;15858343.92
18/03/1981;16268265.63
19/03/1981;16396868.52
20/03/1981;16613885.9
23/03/1981;16911280.08
24/03/1981;17240824.99
25/03/1981;16975581.53
26/03/1981;17345314.84
