Date;Europe Brent Spot Price FOB (Dollars per Barrel)
ene-2014;108.12
feb-2014;108.9
mar-2014;107.48
abr-2014;107.76
may-2014;109.54
jun-2014;111.8
jul-2014;106.77
ago-2014;101.61
sep-2014;97.09
oct-2014;87.43
nov-2014;79.44
dic-2014;62.34
ene-2015;47.76
feb-2015;58.1
mar-2015;55.89
abr-2015;59.52
may-2015;64.08
jun-2015;61.48
jul-2015;56.56
ago-2015;46.52
sep-2015;47.62
oct-2015;48.43
nov-2015;44.27
dic-2015;38.01
ene-2016;30.7
feb-2016;32.18
mar-2016;38.21
abr-2016;41.58
may-2016;46.74
jun-2016;48.25
jul-2016;44.95
ago-2016;45.84
sep-2016;46.57
oct-2016;49.52
nov-2016;44.73
dic-2016;53.31
ene-2017;54.58
feb-2017;54.87
mar-2017;51.59
abr-2017;52.31
may-2017;50.33
jun-2017;46.37
jul-2017;48.48
ago-2017;51.7
sep-2017;56.15
oct-2017;57.51
nov-2017;62.71
dic-2017;64.37
ene-2018;69.08
feb-2018;65.32
mar-2018;66.02
abr-2018;72.11
may-2018;76.98
jun-2018;74.41
jul-2018;74.25
ago-2018;72.53
sep-2018;78.89
oct-2018;81.03
nov-2018;64.75
dic-2018;57.36
ene-2019;59.41
feb-2019;63.96
mar-2019;66.14
abr-2019;71.23
may-2019;71.32
jun-2019;64.22
jul-2019;63.92
ago-2019;59.04
sep-2019;62.83
oct-2019;59.71
nov-2019;63.21
dic-2019;67.31
ene-2020;63.65
feb-2020;55.66
mar-2020;32.01
abr-2020;18.38
may-2020;29.38
jun-2020;40.27
jul-2020;43.24
ago-2020;44.74
sep-2020;40.91
oct-2020;40.19
nov-2020;42.69
dic-2020;49.99
ene-2021;54.77
feb-2021;62.28
mar-2021;65.41
abr-2021;64.81
may-2021;68.53
jun-2021;73.16
jul-2021;75.17
;
